File Start timestamp: 
2024-9-23,0:0:30
DeviceId,NO2(PPB),CO(PPM),PM1(UGM3),PM2.5(UGM3),PM10(UGM3),CO2(PPM),RELHUM(%),TEMP(C),PRESS(HPA),OZONE(PPB),Voltage(),LAT(LAT),LON(LON),Battery(%),Cell-Strength(),Date,Time
1526,21.7,-0.28,2,4,5,361,38.0,19.6,873.7,11.30,12.10,-25.7533468,28.2305236,65.86,99,2024-9-23,00:00:33
1526,-1.8,-0.32,2,4,5,360,37.9,19.6,873.7,9.80,12.12,-25.7533525,28.2305478,65.86,99,2024-9-23,00:00:49
1526,3.9,-0.33,0,2,2,363,37.9,19.6,873.7,8.30,12.08,-25.7533428,28.2305391,65.86,99,2024-9-23,00:01:06
1526,3.9,-0.30,0,2,2,362,37.9,19.6,873.7,9.20,12.01,-25.7533471,28.2305209,65.86,99,2024-9-23,00:01:22
1526,15.0,-0.35,0,2,2,438,38.0,19.6,873.7,10.20,12.08,-25.7533838,28.2305406,65.86,99,2024-9-23,00:01:52
1526,-1.8,-0.26,0,2,2,426,38.0,19.6,873.7,11.10,12.08,-25.7534012,28.2305681,65.86,99,2024-9-23,00:02:08
1526,-1.8,-0.23,0,2,2,419,38.0,19.6,873.6,9.90,11.97,-25.7533730,28.2305491,65.86,99,2024-9-23,00:02:25
1526,3.9,-0.33,1,5,7,415,38.0,19.6,873.6,10.50,12.09,-25.7533522,28.2305593,65.86,99,2024-9-23,00:02:42
1526,-1.8,-0.33,1,5,7,411,38.0,19.6,873.6,10.80,11.97,-25.7533645,28.2305542,65.86,99,2024-9-23,00:02:59
1526,-1.8,-0.28,1,5,7,406,38.0,19.6,873.6,9.10,12.08,-25.7534370,28.2305037,65.86,99,2024-9-23,00:03:16
1526,3.9,-0.18,0,4,5,400,38.0,19.6,873.6,9.50,12.09,-25.7534610,28.2304948,65.86,99,2024-9-23,00:03:33
1526,3.9,-0.30,0,4,5,393,38.0,19.6,873.6,9.10,12.08,-25.7534807,28.2304982,65.86,99,2024-9-23,00:03:49
1526,3.9,-0.25,0,4,5,371,38.0,19.6,873.7,10.70,12.12,-25.7535181,28.2304790,65.86,99,2024-9-23,00:04:06
1526,-1.8,-0.18,0,3,4,367,38.0,19.6,873.7,10.80,11.99,-25.7535106,28.2304836,65.86,99,2024-9-23,00:04:23
1526,3.9,-0.39,1,4,5,361,38.0,19.6,873.7,9.70,12.07,-25.7534261,28.2305237,65.86,99,2024-9-23,00:04:40
1526,-1.8,-0.32,0,4,4,363,38.0,19.6,873.6,13.10,12.11,-25.7533123,28.2306067,65.86,99,2024-9-23,00:04:57
1526,-1.8,-0.10,1,5,5,362,38.0,19.6,873.6,13.00,12.10,-25.7533659,28.2305827,65.86,99,2024-9-23,00:05:13
1526,-1.8,-0.30,1,5,5,359,38.0,19.6,873.6,9.70,12.06,-25.7533676,28.2305951,65.86,99,2024-9-23,00:05:30
1526,3.9,-0.31,1,5,5,356,38.0,19.6,873.7,10.50,12.11,-25.7532867,28.2306666,65.86,99,2024-9-23,00:05:47
1526,-1.8,-0.28,1,3,3,354,38.0,19.6,873.7,7.60,12.11,-25.7532428,28.2306560,65.86,99,2024-9-23,00:06:04
1526,-1.8,-0.23,1,3,3,356,37.9,19.6,873.7,11.40,12.06,-25.7531485,28.2306298,65.86,99,2024-9-23,00:06:21
1526,-1.8,-0.37,0,3,4,358,38.0,19.6,873.7,10.60,12.07,-25.7532387,28.2305998,65.86,99,2024-9-23,00:06:37
1526,15.0,-0.33,0,3,4,418,38.0,19.6,873.7,11.70,12.10,-25.7533749,28.2305148,65.86,99,2024-9-23,00:07:07
1526,9.2,-0.14,0,3,4,412,38.0,19.6,873.7,13.60,12.09,-25.7534550,28.2305075,65.86,99,2024-9-23,00:07:23
1526,3.9,-0.35,1,3,3,402,38.0,19.6,873.7,13.00,12.08,-25.7535486,28.2304923,65.86,99,2024-9-23,00:07:40
1526,-1.8,-0.27,1,3,3,389,38.0,19.6,873.7,9.20,12.13,-25.7534839,28.2305532,65.86,99,2024-9-23,00:07:57
1526,-1.8,-0.27,1,3,3,375,38.0,19.6,873.7,8.30,12.08,-25.7534911,28.2305710,65.86,99,2024-9-23,00:08:14
1526,3.9,-0.26,1,4,4,375,37.9,19.6,873.7,9.10,12.11,-25.7535379,28.2305060,65.86,99,2024-9-23,00:08:31
1526,3.9,-0.23,1,4,4,375,37.9,19.6,873.7,10.40,12.06,-25.7534765,28.2304975,65.86,99,2024-9-23,00:08:48
1526,3.9,-0.31,0,4,4,373,37.8,19.6,873.7,11.20,11.98,-25.7534225,28.2305017,65.86,99,2024-9-23,00:09:05
1526,3.9,-0.30,1,5,5,373,37.9,19.6,873.7,10.90,12.09,-25.7533449,28.2305676,65.86,99,2024-9-23,00:09:22
1526,3.9,-0.31,0,4,4,371,37.9,19.6,873.7,11.80,12.13,-25.7534044,28.2306107,65.86,99,2024-9-23,00:09:39
1526,3.9,-0.30,1,5,5,369,37.9,19.6,873.7,10.80,12.11,-25.7533677,28.2306536,65.86,99,2024-9-23,00:09:56
1526,-1.8,-0.23,1,5,5,370,37.9,19.6,873.7,8.50,12.15,-25.7532759,28.2306124,65.86,99,2024-9-23,00:10:13
1526,3.9,-0.30,1,5,5,367,37.9,19.6,873.7,10.10,12.15,-25.7532057,28.2306356,65.86,99,2024-9-23,00:10:30
1526,-1.8,-0.27,1,5,5,366,38.0,19.6,873.7,12.90,12.06,-25.7532761,28.2306441,65.86,99,2024-9-23,00:10:47
1526,-1.8,-0.28,1,4,4,363,38.0,19.6,873.7,12.00,12.08,-25.7533069,28.2306576,65.71,99,2024-9-23,00:11:04
1526,-1.8,-0.32,1,3,4,360,38.0,19.6,873.6,10.40,12.09,-25.7533585,28.2306220,65.71,99,2024-9-23,00:11:20
1526,3.9,-0.31,1,3,4,360,37.9,19.6,873.7,12.80,12.11,-25.7533822,28.2306086,65.71,99,2024-9-23,00:11:37
1526,3.9,-0.31,1,3,4,360,37.9,19.6,873.6,13.00,12.09,-25.7534520,28.2305674,65.86,99,2024-9-23,00:11:54
1526,20.3,-0.22,1,4,4,372,37.9,19.6,873.6,9.40,12.10,-25.7534414,28.2305166,65.86,99,2024-9-23,00:12:24
1526,3.9,-0.30,1,4,4,369,37.9,19.6,873.6,8.30,12.11,-25.7533472,28.2305565,65.71,99,2024-9-23,00:12:40
1526,3.9,-0.28,1,3,3,369,37.9,19.6,873.6,8.60,12.10,-25.7533085,28.2305689,65.86,99,2024-9-23,00:12:57
1526,-1.8,-0.35,1,3,3,367,37.9,19.6,873.6,11.50,12.12,-25.7533010,28.2305730,65.86,99,2024-9-23,00:13:14
1526,-1.8,-0.24,1,3,3,364,38.0,19.6,873.6,11.40,12.01,-25.7532917,28.2305507,65.86,99,2024-9-23,00:13:31
1526,3.9,-0.29,1,3,3,363,38.0,19.6,873.6,10.60,12.09,-25.7533126,28.2305373,65.86,99,2024-9-23,00:13:47
1526,3.9,-0.32,2,4,4,362,37.9,19.6,873.6,9.80,12.09,-25.7533208,28.2305486,65.86,99,2024-9-23,00:14:04
1526,3.9,-0.31,2,4,4,361,37.9,19.6,873.6,10.50,12.08,-25.7533031,28.2305678,65.86,99,2024-9-23,00:14:21
1526,3.9,-0.25,2,4,4,360,37.9,19.6,873.6,7.40,12.13,-25.7533051,28.2305632,65.86,99,2024-9-23,00:14:38
1526,-1.8,-0.30,1,3,3,359,37.9,19.6,873.6,8.80,12.08,-25.7532961,28.2305587,65.86,99,2024-9-23,00:14:55
1526,3.9,-0.32,1,3,3,356,38.0,19.6,873.6,10.50,12.11,-25.7532814,28.2305697,65.86,99,2024-9-23,00:15:12
1526,-1.8,-0.32,1,3,3,355,37.9,19.6,873.6,9.60,12.07,-25.7532526,28.2305812,65.86,99,2024-9-23,00:15:29
1526,3.9,-0.30,1,3,3,356,37.9,19.6,873.6,9.60,12.05,-25.7532617,28.2305970,65.86,99,2024-9-23,00:15:46
1526,-1.8,-0.21,0,2,2,357,37.9,19.6,873.6,12.70,12.09,-25.7532924,28.2306185,65.86,99,2024-9-23,00:16:03
1526,3.9,-0.33,0,2,2,359,38.0,19.6,873.6,11.80,12.14,-25.7532190,28.2306019,65.86,99,2024-9-23,00:16:20
1526,3.9,-0.25,0,2,2,360,38.0,19.6,873.6,10.30,12.06,-25.7532677,28.2305605,65.86,99,2024-9-23,00:16:37
1526,-1.8,-0.32,1,3,3,359,38.0,19.6,873.6,11.40,12.10,-25.7532181,28.2306009,65.86,99,2024-9-23,00:16:54
1526,-1.8,-0.23,1,4,4,358,38.0,19.6,873.6,10.40,12.06,-25.7532197,28.2306045,65.86,99,2024-9-23,00:17:11
1526,20.3,-0.35,1,4,4,388,38.0,19.6,873.6,10.60,12.03,-25.7531600,28.2305291,65.86,99,2024-9-23,00:17:40
1526,15.0,-0.30,1,5,5,387,38.0,19.6,873.6,11.60,12.11,-25.7531266,28.2305184,65.86,99,2024-9-23,00:17:56
1526,3.9,-0.27,0,4,4,385,38.0,19.6,873.6,13.30,12.05,-25.7532524,28.2305235,65.86,99,2024-9-23,00:18:13
1526,-1.8,-0.26,0,4,5,382,38.0,19.6,873.6,11.00,12.15,-25.7533339,28.2304926,65.86,99,2024-9-23,00:18:30
1526,3.9,-0.28,0,4,5,381,38.0,19.6,873.5,9.90,12.10,-25.7533423,28.2304642,65.86,99,2024-9-23,00:18:47
1526,3.9,-0.30,0,4,5,378,38.0,19.6,873.5,10.90,12.12,-25.7533742,28.2304537,65.86,99,2024-9-23,00:19:04
1526,3.9,-0.28,0,3,5,377,38.0,19.5,873.6,10.70,12.12,-25.7533952,28.2304765,65.86,99,2024-9-23,00:19:21
1526,3.9,-0.28,0,3,5,375,38.0,19.6,873.5,9.90,12.10,-25.7533940,28.2304769,65.86,99,2024-9-23,00:19:38
1526,-1.8,-0.26,1,2,3,372,38.0,19.6,873.6,8.10,12.12,-25.7534396,28.2304606,65.86,99,2024-9-23,00:19:54
