File Start timestamp: 
2024-1-31,0:0:25
DeviceId,NO2(PPB),CO(PPM),PM1(UGM3),PM2.5(UGM3),PM10(UGM3),CO2(PPM),RELHUM(%),TEMP(C),PRESS(HPA),OZONE(PPB),Voltage(),LAT(LAT),LON(LON),Battery(%),Cell-Strength(),Date,Time
1526,-56.7,0.07,8,11,11,410,74.8,20.1,855.1,21.80,12.26,-25.9108969,28.2102665,35.06,00,2024-1-31,00:00:26
1526,-56.7,0.09,7,10,10,410,75.0,20.1,855.1,23.10,12.33,-25.9108947,28.2102688,35.06,00,2024-1-31,00:00:41
1526,-56.7,0.12,8,10,10,410,75.0,20.1,855.1,21.80,12.37,-25.9108929,28.2102729,35.06,00,2024-1-31,00:00:56
1526,-56.7,0.15,7,10,10,409,75.2,20.1,855.1,24.60,12.32,-25.9108942,28.2102770,35.06,00,2024-1-31,00:01:11
1526,-61.1,0.14,7,10,10,409,75.2,20.1,855.1,23.00,12.31,-25.9108986,28.2102758,35.06,00,2024-1-31,00:01:26
1526,-65.5,0.12,8,13,13,407,74.9,20.1,855.1,23.60,12.34,-25.9109013,28.2102710,35.06,00,2024-1-31,00:01:41
1526,-56.7,0.14,8,13,13,406,74.9,20.1,855.1,23.50,12.28,-25.9109047,28.2102660,35.06,00,2024-1-31,00:01:56
1526,-56.7,0.13,8,13,13,407,75.0,20.1,855.1,22.90,12.12,-25.9109102,28.2102606,35.06,00,2024-1-31,00:02:11
1526,-56.7,0.11,8,12,13,407,75.3,20.1,855.1,23.60,12.29,-25.9109075,28.2102558,35.06,00,2024-1-31,00:02:26
1526,-69.5,0.11,7,11,11,408,75.1,20.1,855.1,23.60,12.29,-25.9109014,28.2102564,35.06,00,2024-1-31,00:02:41
1526,-56.7,0.12,7,11,11,408,75.2,20.1,855.1,23.70,12.25,-25.9109014,28.2102578,35.06,00,2024-1-31,00:02:56
1526,-61.1,0.13,7,11,11,409,74.8,20.2,855.1,22.20,12.26,-25.9108954,28.2102598,35.06,00,2024-1-31,00:03:11
1526,-65.1,0.07,7,11,11,409,74.8,20.1,855.1,25.30,12.24,-25.9108870,28.2102612,35.06,00,2024-1-31,00:03:26
1526,-56.7,0.13,8,11,11,409,75.0,20.1,855.1,25.00,12.33,-25.9108913,28.2102649,35.06,00,2024-1-31,00:03:41
1526,-61.1,0.12,8,11,11,410,74.7,20.1,855.1,23.10,12.29,-25.9108982,28.2102724,35.06,00,2024-1-31,00:03:56
1526,-61.1,0.10,8,11,11,410,74.6,20.1,855.1,23.00,12.25,-25.9109007,28.2102747,35.06,00,2024-1-31,00:04:11
1526,-73.8,0.11,9,11,12,410,74.4,20.2,855.1,22.20,12.31,-25.9108987,28.2102739,35.06,00,2024-1-31,00:04:26
1526,-61.1,0.14,9,11,11,412,74.6,20.1,855.1,21.00,12.33,-25.9108966,28.2102737,35.06,00,2024-1-31,00:04:41
