period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,sample_rh,sample_temp,sample_pres,pm1,pm25,pm10
2023-12-01T00:00:00+02:00,2023-12-02T00:00:00+02:00,2023-11-30T22:00:00+00:00,2023-12-01T22:00:00+00:00,MOD-PM-00523,643,,,,,,
2023-12-02T00:00:00+02:00,2023-12-03T00:00:00+02:00,2023-12-01T22:00:00+00:00,2023-12-02T22:00:00+00:00,MOD-PM-00523,1425,35.667,27.561,0.0,27.865,28.877,40.448
2023-12-03T00:00:00+02:00,2023-12-04T00:00:00+02:00,2023-12-02T22:00:00+00:00,2023-12-03T22:00:00+00:00,MOD-PM-00523,1421,32.126,27.997,0.0,20.233,21.058,30.021
2023-12-04T00:00:00+02:00,2023-12-05T00:00:00+02:00,2023-12-03T22:00:00+00:00,2023-12-04T22:00:00+00:00,MOD-PM-00523,1414,30.762,29.242,0.0,29.585,30.543,42.17
2023-12-05T00:00:00+02:00,2023-12-06T00:00:00+02:00,2023-12-04T22:00:00+00:00,2023-12-05T22:00:00+00:00,MOD-PM-00523,905,,,,,,
2023-12-06T00:00:00+02:00,2023-12-07T00:00:00+02:00,2023-12-05T22:00:00+00:00,2023-12-06T22:00:00+00:00,MOD-PM-00523,1423,54.81,23.415,0.0,19.675,20.958,36.773
2023-12-07T00:00:00+02:00,2023-12-08T00:00:00+02:00,2023-12-06T22:00:00+00:00,2023-12-07T22:00:00+00:00,MOD-PM-00523,1427,63.688,20.865,0.0,8.678,9.011,15.149
2023-12-08T00:00:00+02:00,2023-12-09T00:00:00+02:00,2023-12-07T22:00:00+00:00,2023-12-08T22:00:00+00:00,MOD-PM-00523,1415,56.591,23.857,0.0,13.995,14.584,20.366
2023-12-09T00:00:00+02:00,2023-12-10T00:00:00+02:00,2023-12-08T22:00:00+00:00,2023-12-09T22:00:00+00:00,MOD-PM-00523,1420,47.797,25.815,0.0,13.213,13.812,20.448
2023-12-10T00:00:00+02:00,2023-12-11T00:00:00+02:00,2023-12-09T22:00:00+00:00,2023-12-10T22:00:00+00:00,MOD-PM-00523,1440,71.926,19.255,0.0,11.806,12.254,14.587
2023-12-11T00:00:00+02:00,2023-12-12T00:00:00+02:00,2023-12-10T22:00:00+00:00,2023-12-11T22:00:00+00:00,MOD-PM-00523,1427,76.003,18.635,0.0,10.866,11.249,14.176
2023-12-12T00:00:00+02:00,2023-12-13T00:00:00+02:00,2023-12-11T22:00:00+00:00,2023-12-12T22:00:00+00:00,MOD-PM-00523,1423,59.577,22.984,0.0,14.403,14.763,19.485
2023-12-13T00:00:00+02:00,2023-12-14T00:00:00+02:00,2023-12-12T22:00:00+00:00,2023-12-13T22:00:00+00:00,MOD-PM-00523,1433,58.483,23.703,0.0,22.517,23.036,29.372
2023-12-14T00:00:00+02:00,2023-12-15T00:00:00+02:00,2023-12-13T22:00:00+00:00,2023-12-14T22:00:00+00:00,MOD-PM-00523,1292,60.011,23.578,0.0,6.633,6.994,10.367
2023-12-15T00:00:00+02:00,2023-12-16T00:00:00+02:00,2023-12-14T22:00:00+00:00,2023-12-15T22:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-16T00:00:00+02:00,2023-12-17T00:00:00+02:00,2023-12-15T22:00:00+00:00,2023-12-16T22:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-17T00:00:00+02:00,2023-12-18T00:00:00+02:00,2023-12-16T22:00:00+00:00,2023-12-17T22:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-18T00:00:00+02:00,2023-12-19T00:00:00+02:00,2023-12-17T22:00:00+00:00,2023-12-18T22:00:00+00:00,MOD-PM-00523,915,,,,,,
2023-12-19T00:00:00+02:00,2023-12-20T00:00:00+02:00,2023-12-18T22:00:00+00:00,2023-12-19T22:00:00+00:00,MOD-PM-00523,1112,53.977,27.552,0.0,47.117,47.688,53.918
2023-12-20T00:00:00+02:00,2023-12-21T00:00:00+02:00,2023-12-19T22:00:00+00:00,2023-12-20T22:00:00+00:00,MOD-PM-00523,1044,,,,,,
2023-12-21T00:00:00+02:00,2023-12-22T00:00:00+02:00,2023-12-20T22:00:00+00:00,2023-12-21T22:00:00+00:00,MOD-PM-00523,1440,47.31,28.816,0.0,27.468,27.931,33.831
2023-12-22T00:00:00+02:00,2023-12-23T00:00:00+02:00,2023-12-21T22:00:00+00:00,2023-12-22T22:00:00+00:00,MOD-PM-00523,1440,43.478,27.055,0.0,15.412,15.897,23.112
2023-12-23T00:00:00+02:00,2023-12-24T00:00:00+02:00,2023-12-22T22:00:00+00:00,2023-12-23T22:00:00+00:00,MOD-PM-00523,1440,40.92,28.506,0.0,10.867,11.294,16.823
2023-12-24T00:00:00+02:00,2023-12-25T00:00:00+02:00,2023-12-23T22:00:00+00:00,2023-12-24T22:00:00+00:00,MOD-PM-00523,1340,59.871,24.526,0.0,25.457,25.944,33.249
2023-12-25T00:00:00+02:00,2023-12-26T00:00:00+02:00,2023-12-24T22:00:00+00:00,2023-12-25T22:00:00+00:00,MOD-PM-00523,1440,84.015,18.936,0.0,16.899,17.942,20.516
2023-12-26T00:00:00+02:00,2023-12-27T00:00:00+02:00,2023-12-25T22:00:00+00:00,2023-12-26T22:00:00+00:00,MOD-PM-00523,1440,69.784,21.507,0.0,9.044,9.332,12.647
2023-12-27T00:00:00+02:00,2023-12-28T00:00:00+02:00,2023-12-26T22:00:00+00:00,2023-12-27T22:00:00+00:00,MOD-PM-00523,1440,73.893,16.717,0.0,18.109,18.463,22.283
2023-12-28T00:00:00+02:00,2023-12-29T00:00:00+02:00,2023-12-27T22:00:00+00:00,2023-12-28T22:00:00+00:00,MOD-PM-00523,1440,66.338,20.799,0.0,9.033,9.274,12.112
2023-12-29T00:00:00+02:00,2023-12-30T00:00:00+02:00,2023-12-28T22:00:00+00:00,2023-12-29T22:00:00+00:00,MOD-PM-00523,1440,60.217,21.586,0.0,3.623,3.851,6.083
2023-12-30T00:00:00+02:00,2023-12-31T00:00:00+02:00,2023-12-29T22:00:00+00:00,2023-12-30T22:00:00+00:00,MOD-PM-00523,1440,59.808,22.459,0.0,5.249,6.086,12.406
2023-12-31T00:00:00+02:00,2024-01-01T00:00:00+02:00,2023-12-30T22:00:00+00:00,2023-12-31T22:00:00+00:00,MOD-PM-00523,1440,53.801,23.615,0.0,10.617,11.257,17.026
2024-01-01T00:00:00+02:00,2024-01-02T00:00:00+02:00,2023-12-31T22:00:00+00:00,2024-01-01T22:00:00+00:00,MOD-PM-00523,1440,48.684,26.302,0.0,50.612,52.163,69.928
2024-01-02T00:00:00+02:00,2024-01-03T00:00:00+02:00,2024-01-01T22:00:00+00:00,2024-01-02T22:00:00+00:00,MOD-PM-00523,1309,56.563,24.463,0.0,19.052,19.312,22.313
