period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,sample_rh,sample_temp,sample_pres,pm1,pm25,pm10
2023-12-01T00:00:00+02:00,2023-12-01T01:00:00+02:00,2023-11-30T22:00:00+00:00,2023-11-30T23:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T01:00:00+02:00,2023-12-01T02:00:00+02:00,2023-11-30T23:00:00+00:00,2023-12-01T00:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T02:00:00+02:00,2023-12-01T03:00:00+02:00,2023-12-01T00:00:00+00:00,2023-12-01T01:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T03:00:00+02:00,2023-12-01T04:00:00+02:00,2023-12-01T01:00:00+00:00,2023-12-01T02:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T04:00:00+02:00,2023-12-01T05:00:00+02:00,2023-12-01T02:00:00+00:00,2023-12-01T03:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T05:00:00+02:00,2023-12-01T06:00:00+02:00,2023-12-01T03:00:00+00:00,2023-12-01T04:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T06:00:00+02:00,2023-12-01T07:00:00+02:00,2023-12-01T04:00:00+00:00,2023-12-01T05:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T07:00:00+02:00,2023-12-01T08:00:00+02:00,2023-12-01T05:00:00+00:00,2023-12-01T06:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T08:00:00+02:00,2023-12-01T09:00:00+02:00,2023-12-01T06:00:00+00:00,2023-12-01T07:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T09:00:00+02:00,2023-12-01T10:00:00+02:00,2023-12-01T07:00:00+00:00,2023-12-01T08:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T10:00:00+02:00,2023-12-01T11:00:00+02:00,2023-12-01T08:00:00+00:00,2023-12-01T09:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T11:00:00+02:00,2023-12-01T12:00:00+02:00,2023-12-01T09:00:00+00:00,2023-12-01T10:00:00+00:00,MOD-PM-00523,0,,,,,,
2023-12-01T12:00:00+02:00,2023-12-01T13:00:00+02:00,2023-12-01T10:00:00+00:00,2023-12-01T11:00:00+00:00,MOD-PM-00523,4,,,,,,
